,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
470279,84606,64.69203856308,38.05945516017,177858860632310528,8.5683,59.267,56.484,-17.947,11.454918,0.002784,11.973629,0.002917,10.786842,0.003835,10.527638,0.00786,1.186787,0.518711,0.668076,,4948.7,121.287,0.7934,0.31445235,0.802,6.919,0.7045019,K      
514761,29088,302.91986255528,25.07883768036,1833805423138944000,0.1784,6.388,-1.969,-6.077,14.715091,0.002799,16.364614,0.003572,13.496126,0.00385,12.859168,0.042453,2.868488,1.649524,1.218965,,3942.3,4119.3896,31.6007,180.42143,3.011,0.375,0.01381727,M      
597088,11415,74.8251937289,-69.82889040441,4655152461854318464,0.1451,2.015,2.008,-0.172,17.536884,0.003227,17.274933,0.024822,17.42486,0.027697,,,-0.149927,-0.261951,0.112024,,15149.7,17019.453,1.3442,86.97211,,,1.302732,O      
53908,53908,297.75078722051,28.70777909691,2028652971111888768,0.2743,4.754,-1.993,-4.317,14.801511,0.002764,15.226666,0.002993,14.195377,0.003868,14.042136,0.208118,1.031289,0.425156,0.606133,,7531.4,3784.4805,3.9102,35.948982,2.182,0.793,0.3799871,A      
464892,79219,70.31598018339,34.16055413185,173528807747437568,1.4052,5.268,-4.791,-2.19,13.90158,0.003263,14.878763,0.003372,12.883427,0.003881,12.327292,0.059717,1.995337,0.977183,1.018153,,5820.6,2224.6975,8.9842,6.5027103,1.387,3.248,0.5995923,K      
325005,39332,43.54340788119,32.58402813979,136370777925628160,1.1445,4.533,-3.624,-2.722,14.165765,0.002768,14.58145,0.002981,13.563527,0.003906,13.3497,0.084315,1.017922,0.415685,0.602238,,5274.6,722.6241,1.2099,1.3840877,0.963,11.609,0.51057225,G      
88681,88681,103.49251568058,-9.6344248723,3050257980895188224,0.4643,1.404,-0.314,1.369,14.743242,0.00278,15.135527,0.003395,14.173503,0.004058,13.978061,0.123403,0.962024,0.392284,0.569739,,8304.7,1550.9635,1.4815,15.4631605,1.874,0.641,0.6049152,A      
6845,6845,52.49885990608,37.88439980375,234798753903315456,1.5441,1.749,0.343,-1.715,12.333016,0.002765,12.622431,0.002847,11.880069,0.003799,11.683902,0.014448,0.742362,0.289414,0.452948,,7758.6,614.8008,1.5166,8.209116,1.639,0.565,0.5700671,A      
104886,4886,80.06607905263,39.36846497991,187965910818056576,0.306,1.416,0.439,-1.346,13.85183,0.002778,14.113392,0.002934,13.422923,0.003897,,,0.690469,0.261562,0.428906,,9956.7,4849.1523,5.1767,87.07644,2.75,0.354,0.38640752,B      
104136,4136,75.99624229135,38.60523489698,186898181945465088,0.2728,0.142,0.085,-0.113,17.135586,0.002843,17.715734,0.009665,16.39501,0.005182,,,1.320725,0.580149,0.740576,,9665.2,2900.8428,1.2181,11.9335375,,,0.6643644,B      
307466,21793,41.85592507872,18.95391385796,83837353596788992,1.1389,2.62,2.422,-1.0,14.016115,0.002774,14.319227,0.003244,13.543979,0.003862,13.278532,0.066416,0.775249,0.303112,0.472137,,6276.7,862.2921,1.1115,1.6875335,1.192,0.208,0.562413,G      
246630,60957,46.20969160096,38.26795922261,142551515038690176,1.4232,13.147,11.368,-6.605,12.953653,0.00277,13.31095,0.002955,12.425005,0.003829,12.192572,0.034751,0.885945,0.357297,0.528648,,6145.1,643.5822,1.4946,3.2530596,1.244,3.861,0.3935001,F      
123351,23351,74.95429557731,49.47566193681,256276815901943296,0.318,0.825,-0.742,-0.361,11.571857,0.002887,11.761288,0.003851,11.11083,0.004418,,,0.650457,0.189431,0.461026,,12595.2,4119.5957,10.7247,2608.1873,6.268,,0.3296648,B      
3716,3716,83.67353626318,40.02742505394,191150066428668288,0.4843,3.161,0.941,-3.017,11.644604,0.002778,11.791067,0.002885,11.379063,0.00382,11.256849,0.033317,0.412004,0.146463,0.265541,,8998.8,2376.4968,5.8119,124.53266,2.89,0.391,0.3421696,A      
471416,85743,68.20080233241,38.96431130688,178849280090493440,0.6459,3.405,1.378,-3.114,15.031189,0.002769,15.766127,0.003405,14.183002,0.004059,13.872443,0.163038,1.583125,0.734938,0.848187,,5264.6,1503.681,2.7437,4.826523,1.34,3.856,0.21828707,K      
549851,64178,66.21954812398,-12.0068028027,3178649568570893696,5.6077,7.292,-4.372,5.835,15.182044,0.00279,16.294567,0.004694,14.132951,0.003977,13.636292,0.060733,2.161616,1.112523,1.049093,,3778.8,177.055,0.5361,0.052843228,0.548,12.739,0.6299701,M      
566542,80869,266.98101695726,-36.21792458544,4040251030700141440,0.1082,6.288,1.032,-6.203,15.059508,0.002819,16.409906,0.020831,13.844785,0.007456,13.127484,0.103792,2.565122,1.350398,1.214724,,4428.8,1912.2322,9.7645,200.2689,2.259,0.828,0.01306809,M      
36188,36188,305.07303718896,15.67723833395,1808382377827777152,1.3265,9.603,9.555,0.956,10.805476,0.00278,10.923847,0.003031,10.582858,0.00386,10.4989,0.008871,0.340989,0.118371,0.222618,,7847.4,786.5178,2.8003,23.831245,2.006,0.87,0.45502535,A      
157086,57086,30.77459871732,56.21215001024,504988480713428224,0.3397,2.151,-1.864,-1.075,11.731087,0.002769,11.839744,0.002853,11.512632,0.003796,11.395932,0.050116,0.327111,0.108657,0.218454,,10230.9,4582.0503,9.3518,266.06635,3.462,0.247,0.29607645,B      
300353,14680,49.33175738323,22.94503484597,62465596334573440,2.2332,7.173,-7.165,0.342,14.08553,0.002776,14.607163,0.002955,13.384686,0.003926,13.070375,0.070457,1.222477,0.521633,0.700844,,5511.9,420.6837,0.8331,0.62378997,0.949,2.176,0.5925716,G      
397109,11436,59.59040233204,16.90041725094,46524292638368512,1.0284,8.08,2.425,-7.708,13.968392,0.002762,14.555142,0.003036,13.235551,0.003829,12.868477,0.065118,1.319592,0.58675,0.732842,,5801.7,1079.567,2.3497,3.463882,1.167,6.339,0.51673776,K      
348469,62796,77.93091286867,39.75305350891,188888091836808576,0.7976,4.87,2.401,-4.237,14.81455,0.002762,15.261339,0.003065,14.198916,0.003857,13.945701,0.138165,1.062424,0.446789,0.615635,,5742.5,1024.9031,1.22,1.9766327,0.999,10.329,0.45884457,G      
418705,33032,46.51619482771,23.72170203342,111480862625770752,0.5238,8.601,2.193,-8.317,14.553335,0.00277,15.139583,0.0032,13.808845,0.004325,13.452508,0.113241,1.330738,0.586247,0.744491,,5007.1,3240.2917,5.9832,5.9519544,1.332,4.059,0.16698678,K      
39718,39718,311.2300912673,30.82100621613,1859346940801527424,1.5423,5.625,-0.188,-5.622,9.375137,0.002761,9.423498,0.002806,9.260716,0.003789,9.201461,0.007251,0.162782,0.048361,0.114421,,9099.9,757.7303,4.1779,79.11507,2.651,0.445,0.45078966,A      
598602,12929,81.14414171531,-69.8980639548,4657961301783510784,0.0177,2.152,2.123,0.35,16.778477,0.003142,16.526188,0.012686,16.67104,0.015095,,,-0.144852,-0.252289,0.107437,,18246.6,19477.24,1.9545,,,,,O      
400665,14992,61.76531445813,23.77803712058,53933626620279168,2.8958,13.108,-10.988,-7.147,13.324243,0.002759,13.824607,0.002916,12.658005,0.003814,12.334468,0.079076,1.166602,0.500364,0.666238,,5571.6,320.4213,0.8434,0.7165966,0.986,1.294,0.6930081,K      
419719,34046,41.83839824607,25.07487003812,114351069010561792,0.3566,2.986,0.512,-2.941,14.153538,0.002773,14.866771,0.003221,13.339827,0.003828,13.058625,0.107702,1.526944,0.713233,0.813711,,4741.4,2360.2612,6.4392,21.740223,1.385,3.712,0.1288425,K      
136837,36837,1.01062220288,62.99114983512,430068720476731008,0.2135,1.48,-1.463,-0.224,17.164341,0.002845,17.689938,0.007871,16.46999,0.005756,,,1.219948,0.525597,0.694351,,9624.2,3896.3242,1.451,12.961988,,,0.70999146,B      
336466,50793,61.51429133665,27.69923256382,163890080799511552,1.7301,16.667,15.543,-6.017,12.958845,0.00276,13.391461,0.002829,12.357281,0.00379,12.095372,0.0152,1.034181,0.432616,0.601564,,5387.4,551.4563,1.6163,2.0973532,0.98,12.157,0.4997793,G      
462045,76372,68.38544860297,31.21781286099,171318553153580288,4.3493,11.515,-9.944,-5.806,13.322326,0.002812,13.941269,0.003552,12.570358,0.00418,12.273863,0.027664,1.370911,0.618943,0.751967,,4931.1,227.9075,0.7704,0.31781682,0.787,10.07,0.6616079,K      
498270,12597,139.080497237,32.14524789549,701521957922293376,5.9807,58.49,-57.398,11.251,15.180273,0.00278,16.261703,0.004031,14.150216,0.003955,13.642279,0.066547,2.111487,1.08143,1.030057,,3768.5,165.2598,0.4863,0.042541835,0.527,0.422,0.6136395,M      
228996,43323,42.14707418781,26.68975922731,114807813012743424,1.1082,13.977,5.024,-13.043,13.892262,0.002769,14.228308,0.003076,13.379911,0.003863,13.223163,0.046066,0.848396,0.336045,0.512351,,6243.7,870.254,1.2571,2.1296198,1.174,2.62,0.5467382,F      
36331,36331,302.9199599872,18.12051991732,1810245392898476544,0.7576,5.677,-1.702,-5.415,12.104837,0.00276,12.305482,0.002845,11.771496,0.003792,11.628833,0.026754,0.533986,0.200645,0.333342,,7794.9,1185.1873,2.7155,28.905754,2.089,0.829,0.44567594,A      
130499,30499,20.08525082611,58.35285877877,413835492134696064,0.2932,1.754,-1.581,-0.759,14.853661,0.002763,15.088152,0.00289,14.459356,0.003855,,,0.628796,0.234491,0.394304,,10123.7,3309.5137,2.1078,37.814148,2.39,0.221,0.5393602,B      
133782,33782,11.0842962163,60.27961619001,427035992524025984,0.4497,1.597,-0.741,-1.415,10.022687,0.002766,10.191319,0.002837,9.695271,0.003788,,,0.496048,0.168632,0.327416,,19437.2,2326.3147,8.4908,,,,,B      
66552,66552,313.53522631728,52.04502945802,2170087652865193344,0.8924,9.321,-3.166,-8.766,14.79344,0.002769,15.577002,0.00341,13.916798,0.003841,13.453151,0.08988,1.660204,0.783562,0.876642,,7534.9,1066.1726,1.8716,10.132374,1.678,0.979,0.5173565,A      
109776,9776,74.15259827049,38.90014480665,199069779963162880,0.3675,2.568,1.628,-1.985,15.48552,0.002778,15.881229,0.0035,14.908677,0.004166,,,0.972552,0.395709,0.576843,,9733.3,2852.9075,1.8482,21.344357,2.156,,0.64397174,B      
270044,84371,62.62101609153,34.7955600262,170850298642185856,1.1022,3.119,-0.952,-2.97,12.295531,0.002854,12.62317,0.00374,11.798227,0.004105,11.590782,0.011471,0.824943,0.327639,0.497304,,7015.6,907.1763,2.5576,13.677268,1.75,1.349,0.31152746,F      
373249,87576,64.52794995907,45.63062019139,232994180447503616,1.8942,10.839,-10.802,0.892,14.801383,0.002765,15.356998,0.00333,14.088233,0.003963,13.798488,0.091413,1.268765,0.555615,0.71315,,5141.4,529.8115,0.8393,0.4274899,0.841,7.712,0.5953598,G      
228606,42933,41.75015948378,24.77126406665,113923114173213824,1.3981,13.853,10.054,-9.531,11.992449,0.002775,12.341949,0.002911,11.463226,0.003806,11.249028,0.017323,0.878722,0.3495,0.529223,,6527.0,671.0635,2.3535,9.532625,1.601,1.851,0.41861588,F      
559840,74167,191.38150420199,14.96150507352,3933923931257896704,9.847,80.513,32.274,-73.761,12.893786,0.002815,13.836539,0.003001,11.921265,0.003856,11.506272,0.010718,1.915275,0.942753,0.972522,,3646.8,101.4385,0.7902,0.09895778,0.638,7.515,0.27222186,M      
337795,52122,58.57368716971,28.95603026459,167032416311062272,1.4245,9.142,7.94,-4.532,14.55315,0.002763,15.024611,0.003106,13.912806,0.003866,13.539042,0.225661,1.111806,0.471461,0.640345,,5592.6,648.7691,0.9286,0.84092695,0.928,8.311,0.56146044,G      
89771,89771,113.45819597829,-8.29090410941,3053647328566025856,0.9031,3.643,-3.516,0.954,11.770009,0.002769,11.814474,0.002855,11.681951,0.003807,11.625284,0.019412,0.132524,0.044465,0.088058,,9148.5,1191.0045,2.1453,22.596298,2.087,0.365,0.5040125,A      
264772,79099,66.38589172277,31.02743397247,165483925980240896,0.6546,3.549,3.538,0.284,14.830023,0.002768,15.461318,0.003364,14.051937,0.003856,13.602027,0.090191,1.409381,0.631295,0.778086,,5970.5,1194.0035,1.909,6.071467,1.394,3.269,0.45433512,F      
3401,3401,78.11456196383,40.06686270105,188900220822678912,1.2485,3.176,1.231,-2.927,10.678373,0.002766,10.789005,0.002816,10.456925,0.003791,10.357732,0.007683,0.33208,0.110632,0.221448,,9436.1,1048.1418,3.6243,54.39058,2.472,0.442,0.48133463,A      
584959,99286,264.46311519919,-33.79170999969,4053677235905298816,0.1043,8.025,-0.813,-7.984,16.009481,0.003764,19.602516,0.036532,14.422849,0.007445,13.221509,0.162647,5.179668,3.593035,1.586633,,3564.8,3425.8237,71.8074,547.2744,1.924,1.346,0.00622219,M      
97196,97196,102.76428534051,0.95419867254,3113657775553763840,1.0337,4.109,-4.028,0.814,11.860975,0.002781,11.959219,0.002983,11.678709,0.003808,11.588867,0.025454,0.28051,0.098244,0.182266,,8785.9,954.6299,1.8685,17.98095,1.972,0.428,0.6541968,A      
488360,2687,85.51817728279,42.50095783304,195951255748659584,5.3705,28.119,-26.545,-9.276,14.370696,0.00277,15.304972,0.003172,13.387527,0.004331,12.972351,0.057288,1.917444,0.934276,0.983169,,4217.5,192.605,0.6651,0.11561416,0.653,11.52,0.6911483,M      
205745,20072,48.643584554,16.56166382539,55460573391902592,4.73,13.138,-8.916,9.65,10.30744,0.002779,10.573086,0.002863,9.884222,0.003812,9.724264,0.009945,0.688864,0.265646,0.423218,1.5839,6186.1,210.924,1.4006,2.5776982,1.187,3.83,0.5267306,F      
51826,51826,356.47609984494,61.96281227691,2012933115885526144,0.6395,3.832,-3.789,0.572,14.625277,0.002778,15.054097,0.003172,14.018778,0.003969,13.741269,0.091384,1.035319,0.428821,0.606499,,8114.5,1321.5627,1.4324,7.0442696,1.543,1.161,0.26708648,A      
514082,28409,297.25805431625,22.87833228124,1828197776410453632,0.3933,11.232,-5.1,-10.007,15.648885,0.002777,17.075016,0.003593,14.492593,0.003925,14.076936,0.127244,2.582423,1.426131,1.156292,,4883.5,1892.6884,6.3713,28.17083,2.603,0.557,0.10179643,M      
171192,71192,30.56074923847,65.23463100067,518170388181270528,0.3428,1.03,-0.883,0.529,13.986615,0.002763,14.261055,0.002847,13.544011,0.003817,,,0.717044,0.27444,0.442604,,9892.9,4069.7537,4.1931,76.52565,2.717,0.315,0.43602487,B      
396563,10890,62.87582732328,15.99271754839,45293458089373056,0.9251,6.704,2.803,-6.09,13.415079,0.002761,14.128943,0.002931,12.591081,0.003814,12.238203,0.023875,1.537862,0.713863,0.823998,,4983.4,952.7258,3.6284,8.584792,1.38,3.636,0.17970315,K      
349633,63960,84.26969352577,39.05819209988,190861066668578816,2.1085,3.615,2.256,-2.825,13.681667,0.002836,14.127408,0.003678,13.067664,0.004045,12.853394,0.031097,1.059744,0.445741,0.614003,,5813.4,451.5864,0.8965,0.8627172,1.027,0.967,0.613218,G      
